NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,AN8068571086,,,,50,50,43.33,43.33,43.33,43.33,43.33,50,50,50,50,50,50,50,71.67,50,50,50,50,50,50,50
ALUAR,ARALUA010258,,,,,,,,,,,,,,,,,,,9.81,4.18,4.23,5.42,6.84,5.54,39.94
BANCO BBVA ARGENTINA,ARP125991090,,,,,,,,,,,,,,,,,,79.66,78.28,91.13,83.83,77.11,79.94,76.02,85.28
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,,,,,,,,67.78,63.06,68.91,61.13,63.27,57.53,65.54,75.65
STRABAG SE,AT000000STR1,,,,,,,,,62.63,70.7,47.59,57.1,46.68,38,32.62,71.24,64.98,70.21,52.41,67.67,65.15,61.62,73.62,64.54,65.74
FLUGHAFEN WIEN,AT00000VIE62,,,,,78.89,81.79,53.54,61.88,30.7,30,43.52,34.54,33.38,46.44,47.38,31.02,19.65,24.79,29.81,25,36.46,27.33,14.57,17.31,14.17
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,42.71,81.46,71.75,68.25,70.93,21.71,41.49,28.67,23.1,20.48,20,13.96,13.52,24.33,33.03,49.81,30.57,60.46,60.09
ERSTE GROUP BANK,AT0000652011,,,,56.67,34.44,45.9,58.79,44.79,45.09,36.8,38.04,21.91,27.07,46,30.24,53.21,45.94,44.38,45.74,89.22,89.6,84.67,78.57,71.57,56.39
TELEKOM AUSTRIA,AT0000720008,,,,,,,75.63,46.46,76.01,83.38,58.85,46.04,73.51,76.67,76.9,32.03,46.67,32.08,30.19,42.78,38.48,34.38,30.76,43.98,45.28
ANDRITZ,AT0000730007,,,,67.04,67.04,67.95,77.29,45.63,49.65,52.81,26.48,41.46,16.46,22.89,19.29,37.14,31.3,43.13,60.19,69,61.92,74.38,59.71,57.69,81.57
OMV,AT0000743059,,,,86.3,86.3,89.83,74.71,68.54,89.96,77.94,77.3,90.02,80.75,89.56,88.81,83.14,80.44,86.46,85.37,85.67,86.57,87.14,80.1,83.06,85.09
VERBUND,AT0000746409,,,,,,,36.21,74.38,41.45,48.2,53.15,54.63,46.3,70,54.05,58.92,64.32,64.79,55,51.44,57.47,58,57.05,44.72,23.8
WIENERBERGER,AT0000831706,,,,30,27.78,69.15,80.46,67.29,60.22,84.82,81.15,84.18,68.45,72.22,59.29,51.75,66.38,67.29,78.33,88.11,87.37,69.05,64.48,82.5,89.17
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,22.82,48.96,21.46,16.67,45.09,73.89,58.54,65.63,52.22,65,57.56,62,60.63,65,71.44,64.55,72.67,72.86,82.69,74.54
