NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHLUMBERGER,AN8068571086,28932.59,33368.65,45046.66,30626.74,21786.39,35871.72,41083.06,69427,75957.06,90738.56,54166.32,74260.25,122257.9,106035.1,103603.8,116926.3,109880.8,86450.56,112806.8,96670.44,60103.64,47654.99,34822.08,56514.23,76533.94,67983.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUAR,ARALUA010258,897.08,1345.25,1209.85,1007,1020.79,1473.13,1469.67,1482.65,1791.91,2374.62,940.51,1758.78,2890.88,1700.77,1352.37,1324,2595.08,1812.87,1812.79,2282.51,1347.04,1470.09,1549.55,2561.61,3088.94,3372.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANCO BBVA ARGENTINA,ARP125991090,985.15,1603.94,2117.57,288.83,568.13,914.87,1159.53,1150.96,1839.07,1197.55,446.18,1046.35,1995.05,1193.63,1278.78,1481.74,3701.4,3605.24,3457.04,4604.12,2640.56,1401.62,1050.58,1379.51,1717.33,1663.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,521.43,1470.02,990.42,523.35,705.88,1691.81,2345.24,3133.59,2403.28,2807.39,1146.18,2033.56,2818.31,2123.47,1610.91,2012.71,3555.83,2437.17,3010.92,3682.26,1827.79,1765.7,2515.21,5502.19,6676.09,5191.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRABAG SE,AT000000STR1,,,,,,,,,,6398.72,1992.69,3090.48,3410.47,3476.59,2961.22,3239.4,2586.64,2822.22,4096.56,4482.88,3828.64,3654.33,3829.55,4521.13,4251.07,4757.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUGHAFEN WIEN,AT00000VIE62,724.62,556.45,785.38,620.82,761.31,1152.78,1583.86,1631.47,2025.04,2229.81,834.02,958.02,1381.91,791.98,1251.81,1835.24,1796.11,1884.36,2337.79,3665.96,3395.87,3329.35,2929.44,2730.47,3026.83,4545.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,10909.06,22189.91,18468.65,2963.97,7153.18,11827.35,7505.17,7906.81,11718.77,3656.2,3642.06,6466.1,14234.4,8258.98,7999.25,6665.34,9901.73,5627.5,6811.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERSTE GROUP BANK,AT0000652011,2065.47,1844.27,2620.82,2731.16,4168.61,8115.11,11942.83,17561.48,24707.53,15927.27,4453.41,13171.56,19247.09,9857.52,11773.35,16480.26,9991,12172.98,13183.6,21721.73,15262.17,16629.93,13877.69,21276.09,16250.17,18027.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEKOM AUSTRIA,AT0000720008,,,1060.89,1504.88,5356.78,7220.91,9649.09,12131.41,13570.32,12335.95,6379.34,5850.31,6266.51,5259.66,3036.36,3921.56,4368.67,3635.94,4077.26,6371.91,4882.26,5405.94,5106.25,6031.25,4675.2,5761.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDRITZ,AT0000730007,,,,227.2,297.4,641.24,1101.92,1523.01,2876.78,2353.08,1687.57,2850.66,4412.03,5026.68,6767.6,5852.42,5769.56,4834.66,5550.4,5945.21,5137.41,4059.35,5090.2,5585.1,6182.84,6298.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
