NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,AN8068571086,,,,35.98,42.15,41.28,42.05,49.26,45.72,34.93,31.99,38.55,31.47,41.31,35.41,46.74,46.22,64.41,66.78,77.74,78.5,79.28,87.23,85.74,84.37
ALUAR,ARALUA010258,,,,,,,,,,,,,,,,,,,13.45,12.61,20.72,21.51,23.05,21.46,31.86
BANCO BBVA ARGENTINA,ARP125991090,,,,,,,,,,,,,,,,,,22.94,61.32,75.83,76.24,71.45,84.01,81.75,83.24
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,,,,,,,,32.75,45.84,40.65,43.21,41.05,40.09,42.2,60.33
STRABAG SE,AT000000STR1,,,,,,,,,42.56,41.5,33.35,32.27,33.44,39.81,42.32,36.03,37.51,37.97,77.31,76.98,78.69,78.99,80.24,77.73,76
FLUGHAFEN WIEN,AT00000VIE62,,,,,59.08,48.66,24.55,21.46,18.94,20.6,19.41,22.71,35.97,37.49,36.83,36.16,41.09,40.27,54.08,48.09,46.12,43.04,43.87,43.48,34.6
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,31.72,35.99,30.04,34.03,25.67,65.58,61.71,49.06,51.3,51.14,53.54,71.45,75.92,91.04,91.56,86.41,85.9,83.08,84.93
ERSTE GROUP BANK,AT0000652011,,,,18.69,23.99,36.67,33.6,24.33,35.48,36.47,36.4,34.92,34.34,35.21,36.36,47.22,48.56,47.44,83.19,79.37,80.82,77.89,78.41,77.74,80.55
TELEKOM AUSTRIA,AT0000720008,,,,,,,21.23,19.4,56.13,59.13,65.76,63.31,65.02,74.4,73.83,68.47,66.16,62.4,63.61,67.64,60.38,69.71,66.3,69.35,79.37
ANDRITZ,AT0000730007,,,,32.87,32.99,24.85,23.63,31.41,25.33,20.98,17.63,66.62,51.95,47.5,50.11,52.07,45.57,56.84,59.44,75.46,75.9,76.17,76.97,77.28,75.26
OMV,AT0000743059,,,,78.25,81.79,87.23,79.14,86.15,76.46,90.18,83.4,88.1,76.81,80.92,83.16,83.34,86.89,86.48,82.83,81.75,81.79,82.8,91.05,89.96,89.69
VERBUND,AT0000746409,,,,,,,38.13,52.43,44.78,54.34,50.77,52.06,53.31,42.43,44.61,42.82,50.22,55.42,53.66,51.9,63.74,61.53,68.61,64.33,59.76
WIENERBERGER,AT0000831706,,,,36.44,28.3,44.7,34.8,31.49,48.33,19.92,22.91,30.29,32.29,36.42,28.24,37.79,52.64,40.23,41.11,44.58,45.8,54.1,76.91,77.48,73.47
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,13.84,34.66,24.44,22.72,42.1,45.72,40.24,25.72,38.6,39.12,40.28,41.64,61.27,61.3,61.92,58.92,60.8,60.44,54.61,65.24
VOESTALPINE,AT0000937503,,,,20.72,57.01,49.45,12.02,17.02,13.81,17.37,31.68,35.65,40.85,36.68,40.37,47.55,48.13,71.26,65.23,61.98,58.69,73.07,66.1,65.9,63.14
MAYR-MELNHOF KARTON,AT0000938204,,,,,,24.93,14.68,28.39,20.57,30.05,29.31,25.45,35.71,37.88,38.38,33.74,41.62,35.86,45.54,47.8,50.36,55.09,64.47,68.85,84.15
IMMOFINANZ,AT0000A21KS2,,,,37.88,18.07,19.36,30.57,13.45,33.21,15.31,13.2,29.4,31.31,26.64,26.25,30.17,31.4,28.92,60.85,67.02,61.96,71,70.06,68.42,61.81
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,,,,,,,,,19.02,26.7,27.03,21.74,23.87,24.66,25.11,20.83,33.15,28.55,39.16,43.42,40.9,43.19,43.92,
ARISTOCRAT LEISURE,AU000000ALL7,,,,,,4.02,21.3,46.61,40.28,34.76,32.82,30.35,29.08,28.03,32.81,31.36,31.39,30.88,30.33,30.55,33.64,47.56,50.11,50.38,49.1
AMP,AU000000AMP6,,,,,,19.2,37.4,32.44,61.28,45.55,52.82,61.8,62.74,57.92,63.77,68.98,67.08,68.77,72.63,72.67,66.81,58.58,69.39,71.43,79.82
ANSELL,AU000000ANN9,,,,,,28.79,40.82,40.98,29.12,38.8,38.08,50,51.86,45.67,50.21,51.92,52.74,59.05,68.3,74.97,70.61,80.59,74.07,71.31,76.56
ANZ GROUP HOLDINGS,AU000000ANZ3,,,,34.68,41.88,53.95,64.47,76.16,82.91,90.47,89.27,91.43,88.7,82.78,85.55,86.11,85.24,90.49,90.14,86.83,86.41,86.9,87.09,83.43,86.83
APA GROUP,AU000000APA1,,,,,,,,,,,35.92,39.16,45.77,50.56,46.63,40.16,36.36,36.35,32.01,25.92,33.81,46,53.01,51.44,50.17
ASX,AU000000ASX7,,,,,,29.25,17.51,53.58,42.52,57.53,55.58,50.8,50.87,50.9,53.94,52.49,64.25,59.27,62.01,60.03,63.8,65.33,68.05,67.36,70.13
BENDIGO & ADELAIDE BANK,AU000000BEN6,,,,,,,35.93,30.67,20.25,41.5,42.95,50.09,50.58,62.2,63.78,59.01,62.06,63.64,66.53,56.82,58.24,56.39,63.21,65.22,
BHP GROUP,AU000000BHP4,,,,54.89,80.38,91.14,50.75,58.11,90.18,92.18,93.35,92.76,90.51,85.23,84.24,87.66,92.14,91.91,90.02,88.54,85.38,89.28,87.86,87.74,86.26
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,,,,42.99,40.85,41.21,38.99,57.54,59.35,50.79,39.11,34.49,27.52,24.93,33.77,35.34,60.01,59.75,75.95,78.25,70.14,67.53,
BANK OF QLND.,AU000000BOQ8,,,,,,,,,,,36.33,35.72,45.82,43.07,43.12,46.38,55.65,56.79,60.08,57.14,56.5,58.52,57.69,54.19,60.3
BEACH ENERGY,AU000000BPT9,,,,,,,,,,,15.78,15.38,17.62,15.34,24,23.51,28.34,26.16,26.36,26.84,28.11,37.19,66.45,65.69,63.64
BLUESCOPE STEEL,AU000000BSL0,,,,,,20.19,19.69,15.45,21.03,22.95,19.94,23.72,21.33,35.74,35.77,36.16,56.46,59.39,87.51,84.16,77.64,77.16,79.7,78.89,75.32
BWP TRUST,AU000000BWP3,,,,,,,,,,,4.12,4,27.96,26.33,26.98,13.63,13.76,13.26,12.66,12.04,13.88,16.97,16.09,26.51,24.14
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,9.38,38.57,39.86,49.3,54.91,46.09,47.4,62.42,61.62,59.36,56.24,55.47,55.66,64.77,72.34,72.44,75.29,83.59,88.69,93.13,92.36,90.72
CHALLENGER,AU000000CGF5,,,,,,9.65,9.7,7.96,7.56,22.22,23.28,29.26,30.01,41.12,45.48,47.4,48.49,54.41,51.2,48.49,61.72,72.74,78.4,73.7,73.19
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,27.23,27.07,27.64,40.37,36.56,33.4,34.59,36.43,32.67,37.2,33.46,70.29,79.78,80.34,76.07,81.55,82.82,80.58,,
COCHLEAR,AU000000COH5,,,,,,6.25,8.87,12.27,18.25,20.87,21.68,17.44,15.44,20.13,20.03,24.74,29.86,31.61,49.54,60.8,76.98,70.97,70.23,70.15,66.31
COMPUTERSHARE,AU000000CPU5,,,,,,30.93,30.46,13.26,41.92,57.69,43.29,41.94,31.64,46.34,45.13,51.74,68.98,74.89,47.69,46.73,47.42,48.02,61.04,58.74,54.44
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,44,40.81,19.53,29.37,24.51,41.39,44.62,61.39,58.08,57.52,60.49,65.86,61.53,62.27,57.62
CSL,AU000000CSL8,,,,,,30.17,28.28,30.93,30.59,55.29,70.16,72.06,75.72,77.13,80.68,78.54,81.14,78.79,87.88,95.02,94.85,92.87,91.47,91.97,89.38
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,33.51,33.94,23.25,29.53,29.46,40.5,30,33.78,32.56,27.98,38.08,40.4,42.85,44.54,40.96,54.31,47.63,50.02,52.78
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,25.34,23,35.95,41.62,45.19,40.79,48.71,47.53,47.33,49.99,50.49,57.3,56.22,75.62,85.38
DOWNER EDI,AU000000DOW2,,,,,,30.91,34.37,31.12,23.6,17.59,21.3,34.57,33.3,39.22,35.92,37.32,45.3,45.48,49.37,50.2,55.39,56.2,59.71,57.09,62.43
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,38.13,49.17,47.63,87.43,86.77,90.54,85.03,87.25,85.23,86.35,93.94,96.15,94.5,95.72,98.63,98.22,97.31,89.03,83.34
ELDERS,AU000000ELD6,,,,,,11.94,11.89,4.12,21.99,22.38,22.75,20.56,24.48,20.9,22.32,27.23,35.08,36,35.61,29.96,35.75,37.66,42.75,42.32,39.77
ENERGY RES.OF AUS.,AU000000ERA9,,,,,,,,,,66.39,65.89,57.73,57,42.15,40.23,40.23,26.99,29.38,52.08,51.23,43.53,33.93,46.71,45.37,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,,,,,,,,,,,7.15,4.97,20.01,19.29,21.61,31.05,33.51,43.19,42.33,36.84,35.28,47.87,,39.53,49.57
GOODMAN GROUP,AU000000GMG2,,,,,,,5.93,19.19,40.07,50.98,38.65,36.14,51.4,38.83,49.95,37.84,62.04,63.18,60.08,57.61,70.15,74.19,65.55,66.67,64.01
GPT GROUP STAPLED UNITS,AU000000GPT8,,,,,,27.56,13.29,37.03,58.74,87.19,84.33,90.1,87.35,90.27,91.39,85.38,91.8,90.31,89.89,79.45,77.88,75.9,74.64,73.74,
GWA GROUP,AU000000GWA4,,,,,,,,,,,14.68,18.77,18.81,18.27,20.85,22.46,28.51,27.11,26.86,24.38,26.93,35.06,42.18,44.7,46.55
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,,,,,,,,,,,19.17,21.34,48.06,46.41,31.32,32.03,29.32,29.02,29.9,37.13,35.1,37.02,32.8,31.36,
HARVEY NORMAN HOLDINGS,AU000000HVN7,,,,,,17.64,13.16,12.82,14.39,18.48,29.98,29.98,29.13,27.52,29.58,33.09,33.81,34.04,32.17,36.65,34.38,34.71,32.37,29.14,20.52
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,41.31,33.91,42.01,69.58,74.32,85.04,93.65,91.85,84.93,83.04,83.97,88.99,89.05,85.45,84.84,84.99,84.33,85.78,86.32,85.71
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,,,,,,44.97,45.27,51.24,62.22,64.07,54.33,52.49,48.09,45.38,44.58,37.62,43.32,49.83,47.07,47.91
IGO,AU000000IGO4,,,,,,,,,,,6.76,6.13,7.48,8.55,12.03,20.71,21.29,19.37,34.64,36.21,63.1,68.96,65.66,67.65,64.12
ILUKA RESOURCES,AU000000ILU1,,,,,,29.48,20.08,22.96,19.47,11.69,12.08,15.78,19.95,28.46,26.75,32.38,41.19,59.04,74.72,71.25,78.64,65.41,76.72,76.13,74.03
INCITEC PIVOT,AU000000IPL1,,,,,,,,,24.83,20.72,25.13,25.37,30.5,25.23,29.04,25.88,34.15,36.09,35.8,42.67,69.06,65.58,63.57,77.26,71.76
IRESS,AU000000IRE2,,,,,,,,,,,46,31.33,31.33,41,27.33,39.5,35,50,60.01,67.62,66.61,70.14,64.76,63.44,65.55
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,,,,,,18.86,14.89,14.81,15.5,17.25,18.78,16.46,19.16,21.27,29.7,29.33,39.42,39.24,38.88,
JB HI-FI,AU000000JBH7,,,,,,,,,,,29.77,26.66,34.3,34.26,29.31,32.88,38.63,38.77,46.39,43.66,41.94,44.42,55.96,48.17,48.66
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,,,,,,,28.17,21.6,11.7,20.93,32.7,36.87,28.13,26.47,26.63,28.56,30.61,38.73,36.28,33.3,39.47,38.87,56.15,53.04,48.03
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,25.56,53.19,36.27,24.8,57.43,56.44,68.89,71.39,51.59,41.12,41.13,45.8,49.47,64.68,64.36,59.58,56.7,52.15,59.25,55.33
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,32.4,39.59,38.85,43.1,36.5,35.56,35.37,37.11,37.57,36.03,42.03,50.53,49.3,51.17,44.33
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,48.43,59.06,59.47,69.66,70.38,71.83,72.49,72.83,71.66,73.41,71.98,76.29,81.19,81.35,80.36,81.19,80.44,80.3,76.88,76.14
MOUNT GIBSON IRON,AU000000MGX7,,,,,,,,,,,29.93,29.9,27.72,27.76,27.33,31.41,31.01,31.24,35.39,31.55,29.92,42.78,36.92,41.73,40.97
MONADELPHOUS GROUP,AU000000MND5,,,,,,,,,,,32.43,25.67,28.18,28.06,33.34,30.99,30.77,35.63,33.18,32.31,31.28,31.97,57.13,54.28,49.79
MACQUARIE GROUP,AU000000MQG1,,,,,,,44.89,30.57,33.02,52.56,65.85,67.94,72.73,72.42,72.43,74.54,73.87,71.6,72.9,73.74,73.91,84.76,85.42,81.97,82.07
METCASH,AU000000MTS0,,,,,,,,,38.86,37.93,54.78,46.63,46.9,29.38,31.13,29.44,41.67,36.7,37.07,36,37.7,40.06,43.59,47.03,49.31
NATIONAL AUS.BANK,AU000000NAB4,,,,43.46,48.68,65.22,89.27,88.11,83.66,84.3,84.27,87.66,81.43,74.95,76.81,86.68,82.72,90.61,90.02,87.77,87.92,86.25,87.5,86.03,83.72
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,,,,,,44.56,64.27,69.28,57.18,58.37,60.46,59.92,86.4,85.73,86.45,60.86,61.94,60.91,66.4,74.29,71.58,67.81,67.32,69.16,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,,,,,,27.41,37.47,26.86,45.21,50.39,47.9,56.6,53.13,55.7,53.67,61.64,67.46,59.39,61.47,56.43,59.91,60.02,64.66,63.72,62.53
ORICA,AU000000ORI1,,,,24.07,26.05,31.57,32,32.2,22.73,41.06,31.02,53.04,51.2,57.7,60.48,68.1,63.81,58.64,67.05,61.99,58.78,57.78,55.33,70.59,70.37
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,,,,,,,,,,67.07,69.07,79.11,74.23,72.83,70.52,66.31,66.72,64.05,66.97,70.61,67.44,69.35,68.74,61.24,
