NAME,ISIN,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SCHLUMBERGER,AN8068571086,,,577000,704000,561000,642000,642000,511000,375000,440507,440507
ALUAR,ARALUA010258,,,,,,,,,,,
BANCO BBVA ARGENTINA,ARP125991090,,,,,,11313,11167,11646,11646,13029,7911
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,
STRABAG SE,AT000000STR1,,,,,,,,,164315,164315,
FLUGHAFEN WIEN,AT00000VIE62,,,,,,,,,,,
RAIFFEISEN BANK INTL.,AT0000606306,327,327,164,25801,26621,26283,49708,46427,41064,35111,35111
ERSTE GROUP BANK,AT0000652011,80456,80456,115063,54377,48635,34211,34884,32562,22884,18686,13153
TELEKOM AUSTRIA,AT0000720008,195246,195246,176186,178038,190621,217310,193222,226294,176340,176340,115241
ANDRITZ,AT0000730007,192698,192698,177491,140336,139209,169143,75411,108149,108149,80021,81035
OMV,AT0000743059,665149,300000,400000,400000,300000,286079,400000,300000,1100000,900000,800000
VERBUND,AT0000746409,,985467,,,,237598,392000,392000,146000,228000,230000
WIENERBERGER,AT0000831706,165229,682328,58281,409163,612763,506634,506634,481318,176000,155200,78600
VIENNA INSURANCE GROUP A,AT0000908504,17996,17996,10640,18011,20308,20489,20285,15022,15022,14136,14471
VOESTALPINE,AT0000937503,1573688,1355617,1042266,1091733,969674,1085097,904063,904063,731129,650000,530000
MAYR-MELNHOF KARTON,AT0000938204,290783,290783,,,,,,,,,
IMMOFINANZ,AT0000A21KS2,,,,,21785,26606,24250,30504,23141,31454,31454
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,312570,269882,249640,231420,226598,230539,230539,197118,197118,
ARISTOCRAT LEISURE,AU000000ALL7,45681,45681,34714,37419,47407,67324,141058,141058,71720,5873,9392.89
AMP,AU000000AMP6,20715,,14109,11789,9634,,8139,6047,4842,1942,953
ANSELL,AU000000ANN9,30081,29134,22322,111512,111512,96727,93460,95508,101615,99119,99119
ANZ GROUP HOLDINGS,AU000000ANZ3,204108,204108,186844,172447,161969,153042,140319,122331,104984,96060,82853
APA GROUP,AU000000APA1,,,26857,26857,25012,23030,176980,87765,87765,81790,137643
ASX,AU000000ASX7,10906,10906,12250,14440,14262,15065,15065,14762,15092,13318,12676
BENDIGO & ADELAIDE BANK,AU000000BEN6,28816,28816,27183,25890,25890,22607,22607,21187,21187,13055,10808
BHP GROUP,AU000000BHP4,22300000,17600000,6700000,5800000,5800000,5000000,6300000,6300000,3100000,3100000,1800000
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,729774,,510761,495527,520000,552000,517000,517000,283000,283000,
BANK OF QLND.,AU000000BOQ8,24189,24189,17051,6450,13102,4082,4082,3578,4521,2597,2597
