0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 3097.958, 'duration_hr': 35.303}","{'distance_km': 14.104, 'duration_hr': 0.309}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 773.719, 'duration_hr': 8.74}","{'distance_km': 198.74, 'duration_hr': 2.898}","{'distance_km': 208.254, 'duration_hr': 3.075}","{'distance_km': 211.078, 'duration_hr': 3.719}","{'distance_km': 300.903, 'duration_hr': 4.248}","{'distance_km': 463.973, 'duration_hr': 5.463}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 177.018, 'duration_hr': 2.433}","{'distance_km': 344.976, 'duration_hr': 4.029}","{'distance_km': 582.168, 'duration_hr': 6.508}","{'distance_km': 467.302, 'duration_hr': 5.386}","{'distance_km': 1960.744, 'duration_hr': 22.71}","{'distance_km': 1923.328, 'duration_hr': 22.174}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 3105.688, 'duration_hr': 35.45}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 3114.699, 'duration_hr': 35.613}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 3457.676, 'duration_hr': 38.689}","{'distance_km': 3130.515, 'duration_hr': 36.341}","{'distance_km': 3140.029, 'duration_hr': 36.518}","{'distance_km': 3193.395, 'duration_hr': 37.188}","{'distance_km': 3232.678, 'duration_hr': 37.691}","{'distance_km': 3147.931, 'duration_hr': 35.412}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 2981.891, 'duration_hr': 34.439}","{'distance_km': 3073.536, 'duration_hr': 35.222}","{'distance_km': 3266.125, 'duration_hr': 36.457}","{'distance_km': 3195.861, 'duration_hr': 36.579}","{'distance_km': 1396.134, 'duration_hr': 18.43}","{'distance_km': 1413.409, 'duration_hr': 18.008}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 13.587, 'duration_hr': 0.266}","{'distance_km': 3109.135, 'duration_hr': 35.493}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 784.896, 'duration_hr': 8.93}","{'distance_km': 209.918, 'duration_hr': 3.088}","{'distance_km': 219.432, 'duration_hr': 3.265}","{'distance_km': 222.255, 'duration_hr': 3.909}","{'distance_km': 148.513, 'duration_hr': 3.141}","{'distance_km': 475.151, 'duration_hr': 5.652}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 188.195, 'duration_hr': 2.623}","{'distance_km': 356.154, 'duration_hr': 4.219}","{'distance_km': 593.345, 'duration_hr': 6.697}","{'distance_km': 478.479, 'duration_hr': 5.576}","{'distance_km': 1971.921, 'duration_hr': 22.9}","{'distance_km': 1934.505, 'duration_hr': 22.364}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 1148.871, 'duration_hr': 10.834}"
"{'distance_km': 776.843, 'duration_hr': 8.875}","{'distance_km': 3452.99, 'duration_hr': 38.569}","{'distance_km': 785.855, 'duration_hr': 9.038}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 722.953, 'duration_hr': 8.376}","{'distance_km': 747.623, 'duration_hr': 8.98}","{'distance_km': 599.363, 'duration_hr': 7.363}","{'distance_km': 624.731, 'duration_hr': 7.846}","{'distance_km': 445.66, 'duration_hr': 5.192}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 873.27, 'duration_hr': 9.82}","{'distance_km': 1018.058, 'duration_hr': 10.923}","{'distance_km': 251.678, 'duration_hr': 4.28}","{'distance_km': 898.189, 'duration_hr': 9.772}","{'distance_km': 2315.776, 'duration_hr': 25.976}","{'distance_km': 2278.36, 'duration_hr': 25.44}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 201.417, 'duration_hr': 2.985}","{'distance_km': 3126.285, 'duration_hr': 36.218}","{'distance_km': 210.428, 'duration_hr': 3.148}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 721.891, 'duration_hr': 8.386}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 28.641, 'duration_hr': 0.787}","{'distance_km': 218.706, 'duration_hr': 4.051}","{'distance_km': 144.159, 'duration_hr': 2.467}","{'distance_km': 584.109, 'duration_hr': 6.948}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 204.539, 'duration_hr': 3.023}","{'distance_km': 372.498, 'duration_hr': 4.619}","{'distance_km': 532.799, 'duration_hr': 6.813}","{'distance_km': 281.609, 'duration_hr': 4.246}","{'distance_km': 2068.322, 'duration_hr': 24.082}","{'distance_km': 2030.906, 'duration_hr': 23.546}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 210.783, 'duration_hr': 3.16}","{'distance_km': 3135.652, 'duration_hr': 36.393}","{'distance_km': 219.795, 'duration_hr': 3.323}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 746.212, 'duration_hr': 8.991}","{'distance_km': 28.615, 'duration_hr': 0.786}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 243.027, 'duration_hr': 4.656}","{'distance_km': 168.48, 'duration_hr': 3.072}","{'distance_km': 593.476, 'duration_hr': 7.123}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 213.906, 'duration_hr': 3.198}","{'distance_km': 274.496, 'duration_hr': 3.902}","{'distance_km': 557.12, 'duration_hr': 7.419}","{'distance_km': 242.721, 'duration_hr': 3.635}","{'distance_km': 2077.689, 'duration_hr': 24.257}","{'distance_km': 2040.273, 'duration_hr': 23.721}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 212.761, 'duration_hr': 3.739}","{'distance_km': 3188.318, 'duration_hr': 37.032}","{'distance_km': 221.773, 'duration_hr': 3.902}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 597.491, 'duration_hr': 7.444}","{'distance_km': 217.757, 'duration_hr': 4.019}","{'distance_km': 242.427, 'duration_hr': 4.623}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 142.836, 'duration_hr': 2.879}","{'distance_km': 418.81, 'duration_hr': 5.929}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 309.188, 'duration_hr': 4.684}","{'distance_km': 477.146, 'duration_hr': 6.28}","{'distance_km': 385.339, 'duration_hr': 5.712}","{'distance_km': 567.348, 'duration_hr': 6.867}","{'distance_km': 2051.104, 'duration_hr': 24.439}","{'distance_km': 2013.688, 'duration_hr': 23.903}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 160.078, 'duration_hr': 3.38}","{'distance_km': 3228.958, 'duration_hr': 37.588}","{'distance_km': 148.423, 'duration_hr': 3.152}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 622.671, 'duration_hr': 7.842}","{'distance_km': 143.996, 'duration_hr': 2.471}","{'distance_km': 168.666, 'duration_hr': 3.075}","{'distance_km': 142.74, 'duration_hr': 2.806}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 458.89, 'duration_hr': 7.082}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 307.212, 'duration_hr': 4.393}","{'distance_km': 475.171, 'duration_hr': 5.989}","{'distance_km': 433.578, 'duration_hr': 6.269}","{'distance_km': 440.156, 'duration_hr': 5.52}","{'distance_km': 2170.995, 'duration_hr': 25.452}","{'distance_km': 2133.579, 'duration_hr': 24.916}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 468.115, 'duration_hr': 5.591}","{'distance_km': 3144.262, 'duration_hr': 35.285}","{'distance_km': 477.126, 'duration_hr': 5.754}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 446.771, 'duration_hr': 5.187}","{'distance_km': 586.263, 'duration_hr': 7.0}","{'distance_km': 595.778, 'duration_hr': 7.177}","{'distance_km': 419.093, 'duration_hr': 5.959}","{'distance_km': 455.876, 'duration_hr': 7.074}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 564.541, 'duration_hr': 6.536}","{'distance_km': 709.33, 'duration_hr': 7.639}","{'distance_km': 88.254, 'duration_hr': 2.064}","{'distance_km': 729.333, 'duration_hr': 9.0}","{'distance_km': 2007.048, 'duration_hr': 22.691}","{'distance_km': 1969.632, 'duration_hr': 22.156}","{'distance_km': inf, 'duration_hr': inf}"
