0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 3041.202, 'duration_hr': 35.283}","{'distance_km': 14.104, 'duration_hr': 0.309}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 728.741, 'duration_hr': 8.882}","{'distance_km': 198.74, 'duration_hr': 2.898}","{'distance_km': 208.254, 'duration_hr': 3.075}","{'distance_km': 211.078, 'duration_hr': 3.718}","{'distance_km': 300.903, 'duration_hr': 4.248}","{'distance_km': 464.337, 'duration_hr': 5.5}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 177.018, 'duration_hr': 2.434}","{'distance_km': 344.976, 'duration_hr': 4.029}","{'distance_km': 582.532, 'duration_hr': 6.545}","{'distance_km': 467.302, 'duration_hr': 5.386}","{'distance_km': 1960.744, 'duration_hr': 22.709}","{'distance_km': 1923.328, 'duration_hr': 22.173}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 3102.432, 'duration_hr': 35.301}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 3111.443, 'duration_hr': 35.464}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 3409.079, 'duration_hr': 38.645}","{'distance_km': 3122.863, 'duration_hr': 35.944}","{'distance_km': 3132.377, 'duration_hr': 36.121}","{'distance_km': 3190.139, 'duration_hr': 37.039}","{'distance_km': 3225.026, 'duration_hr': 37.294}","{'distance_km': 3144.675, 'duration_hr': 35.263}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 2974.239, 'duration_hr': 34.043}","{'distance_km': 3065.884, 'duration_hr': 34.826}","{'distance_km': 3262.869, 'duration_hr': 36.308}","{'distance_km': 3188.209, 'duration_hr': 36.183}","{'distance_km': 1396.134, 'duration_hr': 18.43}","{'distance_km': 1413.409, 'duration_hr': 18.008}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 13.587, 'duration_hr': 0.266}","{'distance_km': 3052.379, 'duration_hr': 35.473}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 739.919, 'duration_hr': 9.072}","{'distance_km': 209.918, 'duration_hr': 3.088}","{'distance_km': 219.432, 'duration_hr': 3.265}","{'distance_km': 222.255, 'duration_hr': 3.908}","{'distance_km': 312.08, 'duration_hr': 4.438}","{'distance_km': 475.515, 'duration_hr': 5.689}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 188.195, 'duration_hr': 2.623}","{'distance_km': 356.154, 'duration_hr': 4.219}","{'distance_km': 593.709, 'duration_hr': 6.735}","{'distance_km': 478.479, 'duration_hr': 5.576}","{'distance_km': 1971.921, 'duration_hr': 22.899}","{'distance_km': 1934.505, 'duration_hr': 22.363}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 1148.871, 'duration_hr': 10.834}"
"{'distance_km': 736.828, 'duration_hr': 8.959}","{'distance_km': 3408.012, 'duration_hr': 38.684}","{'distance_km': 745.839, 'duration_hr': 9.123}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 722.95, 'duration_hr': 8.381}","{'distance_km': 747.62, 'duration_hr': 8.985}","{'distance_km': 599.36, 'duration_hr': 7.369}","{'distance_km': 624.728, 'duration_hr': 7.852}","{'distance_km': 400.683, 'duration_hr': 5.309}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 833.254, 'duration_hr': 9.905}","{'distance_km': 1056.918, 'duration_hr': 11.264}","{'distance_km': 251.694, 'duration_hr': 4.322}","{'distance_km': 898.186, 'duration_hr': 9.777}","{'distance_km': 2270.799, 'duration_hr': 26.09}","{'distance_km': 2233.383, 'duration_hr': 25.554}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 201.417, 'duration_hr': 2.985}","{'distance_km': 3121.879, 'duration_hr': 36.069}","{'distance_km': 210.428, 'duration_hr': 3.148}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 721.891, 'duration_hr': 8.386}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 28.641, 'duration_hr': 0.787}","{'distance_km': 218.706, 'duration_hr': 4.051}","{'distance_km': 144.159, 'duration_hr': 2.467}","{'distance_km': 584.473, 'duration_hr': 6.985}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 204.539, 'duration_hr': 3.023}","{'distance_km': 372.498, 'duration_hr': 4.619}","{'distance_km': 533.562, 'duration_hr': 6.849}","{'distance_km': 281.609, 'duration_hr': 4.246}","{'distance_km': 2068.322, 'duration_hr': 24.081}","{'distance_km': 2030.906, 'duration_hr': 23.545}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 210.783, 'duration_hr': 3.16}","{'distance_km': 3131.246, 'duration_hr': 36.244}","{'distance_km': 219.795, 'duration_hr': 3.323}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 746.212, 'duration_hr': 8.991}","{'distance_km': 28.615, 'duration_hr': 0.786}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 243.027, 'duration_hr': 4.656}","{'distance_km': 168.48, 'duration_hr': 3.072}","{'distance_km': 593.84, 'duration_hr': 7.16}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 213.906, 'duration_hr': 3.198}","{'distance_km': 274.496, 'duration_hr': 3.902}","{'distance_km': 557.883, 'duration_hr': 7.455}","{'distance_km': 242.721, 'duration_hr': 3.635}","{'distance_km': 2077.689, 'duration_hr': 24.256}","{'distance_km': 2040.273, 'duration_hr': 23.72}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 212.761, 'duration_hr': 3.738}","{'distance_km': 3188.317, 'duration_hr': 37.032}","{'distance_km': 221.773, 'duration_hr': 3.901}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 597.491, 'duration_hr': 7.443}","{'distance_km': 217.757, 'duration_hr': 4.019}","{'distance_km': 242.427, 'duration_hr': 4.623}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 142.836, 'duration_hr': 2.879}","{'distance_km': 369.165, 'duration_hr': 5.849}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 309.188, 'duration_hr': 4.684}","{'distance_km': 477.146, 'duration_hr': 6.279}","{'distance_km': 386.102, 'duration_hr': 5.745}","{'distance_km': 567.348, 'duration_hr': 6.867}","{'distance_km': 2051.104, 'duration_hr': 24.438}","{'distance_km': 2013.688, 'duration_hr': 23.902}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 304.089, 'duration_hr': 4.355}","{'distance_km': 3224.551, 'duration_hr': 37.439}","{'distance_km': 313.101, 'duration_hr': 4.518}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 622.671, 'duration_hr': 7.842}","{'distance_km': 143.996, 'duration_hr': 2.471}","{'distance_km': 168.666, 'duration_hr': 3.075}","{'distance_km': 142.74, 'duration_hr': 2.806}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': 459.653, 'duration_hr': 7.118}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 307.212, 'duration_hr': 4.393}","{'distance_km': 475.171, 'duration_hr': 5.989}","{'distance_km': 434.341, 'duration_hr': 6.306}","{'distance_km': 440.156, 'duration_hr': 5.52}","{'distance_km': 2170.995, 'duration_hr': 25.451}","{'distance_km': 2133.579, 'duration_hr': 24.915}","{'distance_km': inf, 'duration_hr': inf}"
"{'distance_km': 473.076, 'duration_hr': 5.559}","{'distance_km': 3144.261, 'duration_hr': 35.284}","{'distance_km': 482.088, 'duration_hr': 5.722}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 401.43, 'duration_hr': 5.292}","{'distance_km': 591.225, 'duration_hr': 6.969}","{'distance_km': 600.739, 'duration_hr': 7.146}","{'distance_km': 419.093, 'duration_hr': 5.956}","{'distance_km': 456.503, 'duration_hr': 7.106}","{'distance_km': 0.0, 'duration_hr': 0.0}","{'distance_km': inf, 'duration_hr': inf}","{'distance_km': 569.503, 'duration_hr': 6.505}","{'distance_km': 710.71, 'duration_hr': 7.746}","{'distance_km': 88.254, 'duration_hr': 2.064}","{'distance_km': 729.96, 'duration_hr': 9.032}","{'distance_km': 2007.048, 'duration_hr': 22.69}","{'distance_km': 1969.632, 'duration_hr': 22.154}","{'distance_km': inf, 'duration_hr': inf}"
